Customer ID,Customer Name,email,phone,address,Segment,Country,City,State,Postal Code,Region
NS-18640,Noel Staavos,barbaraflowers349@gmail.com,-7389,"8574 Ward Neck Apt. 069
New Joshua, PW 17926",Corporate,United States,Columbus,Ohio,43229.0,East
AS-10225,Alan Schoenberger,christyrodriguez571@gmail.com,001-536-620-5199x858,"859 Colin Oval
New Michael, MT 06634",Corporate,United States,Provo,Utah,84604.0,West
BB-10990,Barry Blumstein,davidfritz381@gmail.com,(463)200-2962x6777,"8627 Brian Spur Apt. 855
Gonzalezfort, KS 26516",Corporate,United States,Inglewood,California,90301.0,West
LA-16780,Laura Armstrong,johnlewis121@gmail.com,497-246-9492,"8638 Kirby Squares Apt. 619
Johnsonhaven, SD 86025",Corporate,United States,Hackensack,New Jersey,7601.0,East
AG-10330,Alex Grayson,dianehenson438@gmail.com,(844)855-9308,"86382 Baker Ports Apt. 074
Cookfurt, NM 54313",Consumer,United States,Houston,Texas,77095.0,Central
DG-13300,Deirdre Greer,donaldbarker945@gmail.com,001-813-015-9491x59744,"864 Jenkins Rue
North Candice, WI 21435",Corporate,United States,Philadelphia,Pennsylvania,19134.0,East
LE-16810,Laurel Elliston,crystalpalmer582@gmail.com,658-534-0061x0437,"86402 Rachel Common Apt. 606
Stantonside, TN 56449",Consumer,United States,Chicago,Illinois,60653.0,Central
JF-15490,Jeremy Farry,williefernandez309@gmail.com,#ERROR!,"8650 Matthew Course Apt. 599
Mitchellland, PR 19263",Consumer,United States,Tempe,Arizona,85281.0,West
NB-18580,Nicole Brennan,alvinandrade279@gmail.com,016.495.1634x0752,"868 Jose Valley
Cassandrachester, OR 69767",Corporate,United States,Bossier City,Louisiana,71111.0,South
GG-14650,Greg Guthrie,ivancallahan817@gmail.com,536-957-3654x29376,"86844 Amanda Parkways
New Michaelside, OR 69657",Corporate,United States,Chicago,Illinois,60623.0,Central
DL-12925,Daniel Lacy,nathangraham770@gmail.com,(085)497-7212,"86846 Timothy Shores Suite 490
South Rachel, SD 53603",Consumer,United States,Eagan,Minnesota,55122.0,Central
TS-21505,,caroljordan852@gmail.com,(003)662-4724,"869 Paul Station
West John, KS 93205",Consumer,United States,San Francisco,California,94122.0,West
DO-13435,Denny Ordway,philipnewton546@gmail.com,-4531,"871 Michael Loaf
New Jacob, NH 07446",Consumer,United States,Columbus,Ohio,43229.0,East
BD-11635,Brian Derr,laurahouse693@gmail.com,070-738-7069x630,"87635 Smith Falls Apt. 959
Brownton, IN 24891",Consumer,United States,New York City,New York,10009.0,East
JP-15520,Jeremy Pistek,rebeccagonzalez299@gmail.com,001-575-005-1428,"878 Michael Terrace Apt. 089
New Ryan, NY 26000",Consumer,United States,Jonesboro,Arkansas,72401.0,South
CC-12550,Clay Cheatham,shawnjohnson262@gmail.com,884.393.1749x356,"8781 Woods Avenue
Lake Ashley, MT 51612",Consumer,United States,San Francisco,California,94122.0,West
HJ-14875,Heather Jas,rebeccadiaz726@gmail.com,#ERROR!,"87852 Breanna Village Suite 356
Susanfort, FM 78632",Home Office,United States,Detroit,Michigan,48234.0,Central
JD-16150,Justin Deggeller,debrapeters111@gmail.com,646.402.5781x495,"8801 Ryan Groves Apt. 812
South Katherine, DC 63149",Corporate,United States,San Diego,California,92037.0,West
JL-15835,John Lee,dalebauer260@gmail.com,2682295843,"88121 Joseph Forge Suite 377
North James, NJ 92068",Consumer,United States,Detroit,Michigan,48205.0,Central
KC-16675,Kimberly Carter,janepineda954@gmail.com,885.392.6735,"88237 Pamela Oval Apt. 433
Julialand, SD 41505",Corporate,United States,Henderson,Kentucky,42420.0,South
RB-19570,Rob Beeghly,reginawilson110@gmail.com,001-156-471-1061x7228,"884 Wesley Divide
North Jamesshire, MO 76033",Consumer,United States,Columbus,Indiana,47201.0,Central
BP-11095,Bart Pistole,andrewlevine599@gmail.com,(524)709-6432x351,"88497 Ferrell Forest Suite 741
New Brendahaven, NM 18105",Corporate,United States,El Paso,Texas,79907.0,Central
CC-12610,Corey Catlett,nataliepage369@gmail.com,983.159.1678x04345,"88542 Matthew Stream
Kellerborough, MT 02570",Corporate,United States,Philadelphia,Pennsylvania,19134.0,East
RA-19885,Ruben Ausman,annedunn196@gmail.com,(606)808-2802x58452,"8857 Susan Landing Apt. 376
Rhondaville, AL 10899",Corporate,United States,Columbus,Georgia,31907.0,South
Co-12640,Corey-Lock,baileymercado654@gmail.com,#ERROR!,"8868 Jennifer Brooks
Lake Davidburgh, VA 18694",Consumer,United States,Skokie,Illinois,60076.0,Central
JE-15610,Jim Epp,denisethomas504@gmail.com,001-620-546-2075x026,"8878 Romero Isle
Lake Michael, OK 63133",Corporate,United States,Lakeland,Florida,33801.0,South
VF-21715,Vicky Freymann,jefferystevenson696@gmail.com,001-821-907-0607x3350,"88932 Kelly Expressway Apt. 938
Stevenmouth, AZ 86056",Home Office,United States,Los Angeles,California,90045.0,West
EP-13915,Emily Phan,tinaduarte715@gmail.com,001-421-499-6796x4251,"8896 Young Crest
Lake Carlosview, AL 61172",Consumer,United States,Los Angeles,California,90032.0,West
FG-14260,"Fra9876nk Gasti  ;.,.,neau",wendygoodman722@gmail.com,6527211727,"88990 Brown Islands
Brownport, VA 61502",Home Office,United States,New York City,New York,10009.0,East
SC-20440,Shaun Chance,toniwilson101@gmail.com,#ERROR!,"89095 Colon Divide
Sarafurt, SC 26944",Corporate,United States,Los Angeles,California,90032.0,West
BT-11440,Bobby Trafton,derrickroberts940@gmail.com,716-501-9486,"89453 Kennedy Court Suite 960
Codyville, OK 25772",Consumer,United States,New York City,New York,10035.0,East
DH-13075,Dave Hallsten,courtneylopez450@gmail.com,#ERROR!,"898 Thomas Passage Apt. 788
South Stephenside, MT 62895",Corporate,United States,Fairfield,California,94533.0,West
