Product ID,Customer ID,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Quantity,Price,Discount,Profit,Order Year,Customer Name,Country,Category,Sub-Category
FUR-BO-10002213,PW-19240,8999,US-2015-145422,3/12/2015,7/12/2015,Standard Class,3,359.499,0.15,-29.61,2015,Pierre Wener,United States,Furniture,Bookcases
FUR-CH-10004086,PW-19240,8199,US-2015-114839,26/4/2015,30/4/2015,Standard Class,2,408.422,0.3,-5.83,2015,Pierre Wener,United States,Furniture,Chairs
OFF-PA-10003441,PW-19240,7212,CA-2015-144274,23/11/2015,25/11/2015,Second Class,6,38.88,0.0,19.0,2015,Pierre Wener,United States,Office Supplies,Paper
FUR-TA-10000849,PW-19240,6072,CA-2014-164210,18/11/2014,20/11/2014,Second Class,2,145.98,0.5,-99.27,2014,Pierre Wener,United States,Furniture,Tables
OFF-AR-10001940,PW-19240,5969,CA-2015-144274,23/11/2015,25/11/2015,Second Class,4,13.12,0.0,5.64,2015,Pierre Wener,United States,Office Supplies,Art
OFF-EN-10003286,PW-19240,5767,CA-2015-144274,23/11/2015,25/11/2015,Second Class,2,16.56,0.0,7.78,2015,Pierre Wener,United States,,
OFF-PA-10001583,PW-19240,5091,CA-2015-144274,23/11/2015,25/11/2015,Second Class,6,44.1,0.0,20.73,2015,Pierre Wener,United States,Office Supplies,Paper
TEC-PH-10003012,PW-19240,3665,CA-2015-144274,23/11/2015,25/11/2015,Second Class,2,307.98,0.0,89.31,2015,Pierre Wener,United States,Technology,Phones
OFF-BI-10003527,PW-19240,3439,CA-2015-162782,21/2/2015,27/2/2015,Standard Class,2,2541.98,0.0,1270.99,2015,Pierre Wener,United States,Office Supplies,Binders
OFF-AR-10003481,PW-19240,1645,CA-2016-120257,22/9/2016,28/9/2016,Standard Class,3,7.872,0.2,0.89,2016,Pierre Wener,United States,Office Supplies,Art
OFF-BI-10000201,PW-19240,968,US-2016-131891,29/7/2016,31/7/2016,First Class,3,2.214,0.7,-1.48,2016,Pierre Wener,United States,Office Supplies,Binders
OFF-PA-10002259,PW-19240,292,CA-2014-164210,18/11/2014,20/11/2014,Second Class,4,35.0,0.2,13.0,2014,Pierre Wener,United States,Office Supplies,Paper
FUR-CH-10000229,GH-14410,9714,CA-2017-163006,30/6/2017,4/7/2017,Second Class,3,569.058,0.3,-178.85,2017,Gary567 Hansen,United States,Furniture,Chairs
OFF-PA-10001289,GH-14410,7474,CA-2014-128986,3/8/2014,5/8/2014,Second Class,3,93.024,0.2,33.72,2014,Gary567 Hansen,United States,Office Supplies,Paper
OFF-ST-10003123,GH-14410,6910,CA-2017-132647,17/2/2017,23/2/2017,Standard Class,5,166.45,0.0,39.95,2017,Gary567 Hansen,United States,Office Supplies,Storage
OFF-LA-10004559,GH-14410,6666,CA-2014-114125,9/7/2014,13/7/2014,Standard Class,1,2.88,0.0,1.41,2014,Gary567 Hansen,United States,Office Supplies,Labels
FUR-FU-10004164,GH-14410,6590,US-2017-131849,6/6/2017,10/6/2017,Standard Class,1,4.95,0.0,2.0,2017,Gary567 Hansen,United States,Furniture,Furnishings
OFF-BI-10003291,GH-14410,5671,CA-2014-114125,9/7/2014,13/7/2014,Standard Class,6,41.904,0.2,14.14,2014,Gary567 Hansen,United States,Office Supplies,Binders
OFF-ST-10001505,GH-14410,5591,CA-2014-114125,9/7/2014,13/7/2014,Standard Class,4,23.92,0.0,4.07,2014,Gary567 Hansen,United States,Office Supplies,Storage
FUR-FU-10003799,GH-14410,4633,CA-2017-163006,30/6/2017,4/7/2017,Second Class,2,14.224,0.6,-10.31,2017,Gary567 Hansen,United States,Furniture,Furnishings
FUR-CH-10002304,GH-14410,4170,US-2015-164966,30/7/2015,1/8/2015,First Class,6,155.88,0.0,38.97,2015,Gary567 Hansen,United States,Furniture,Chairs
OFF-AP-10002457,GH-14410,3209,CA-2016-144540,5/9/2016,10/9/2016,Standard Class,3,62.79,0.8,-166.39,2016,Gary567 Hansen,United States,Office Supplies,Appliances
OFF-PA-10001838,GH-14410,2223,CA-2017-132647,17/2/2017,23/2/2017,Standard Class,2,11.76,0.0,5.76,2017,Gary567 Hansen,United States,Office Supplies,Paper
OFF-BI-10003314,GH-14410,2029,CA-2016-118934,9/8/2016,14/8/2016,Standard Class,3,4.338,0.7,-3.04,2016,Gary567 Hansen,United States,Office Supplies,Binders
OFF-FA-10002763,GH-14410,2011,CA-2016-144540,5/9/2016,10/9/2016,Standard Class,9,28.44,0.2,4.27,2016,Gary567 Hansen,United States,Office Supplies,Fasteners
OFF-ST-10002957,GH-14410,1496,US-2017-131849,6/6/2017,10/6/2017,Standard Class,5,26.4,0.0,0.0,2017,Gary567 Hansen,United States,Office Supplies,Storage
TEC-MA-10001148,GH-14410,580,CA-2017-159282,16/10/2017,21/10/2017,Standard Class,5,599.985,0.7,-479.99,2017,Gary567 Hansen,United States,Technology,Machines
OFF-BI-10004465,GH-14410,240,CA-2016-118934,9/8/2016,14/8/2016,Standard Class,5,11.88,0.7,-7.92,2016,Gary567 Hansen,United States,Office Supplies,Binders
TEC-PH-10002584,GH-14410,191,CA-2017-163006,30/6/2017,4/7/2017,Second Class,2,1001.0,0.2,125.2,2017,Gary567 Hansen,United States,Technology,Phones
FUR-FU-10004091,KL-16555,9270,CA-2014-111451,26/12/2014,28/12/2014,First Class,8,300.416,0.2,78.86,2014,Kelly Lampkin,United States,Furniture,Furnishings
OFF-PA-10004071,KL-16555,9109,US-2016-153815,6/11/2016,9/11/2016,First Class,2,88.768,0.2,31.07,2016,Kelly Lampkin,United States,Office Supplies,Paper
OFF-PA-10002421,KL-16555,8495,US-2016-153815,6/11/2016,9/11/2016,First Class,2,36.112,0.2,12.64,2016,Kelly Lampkin,United States,Office Supplies,Paper
TEC-AC-10004469,KL-16555,7047,CA-2017-147333,14/12/2017,20/12/2017,Standard Class,4,159.8,0.0,70.31,2017,Kelly Lampkin,United States,Technology,Accessories
FUR-CH-10000513,KL-16555,6193,US-2016-153815,6/11/2016,9/11/2016,First Class,2,207.984,0.2,-28.6,2016,Kelly Lampkin,United States,Furniture,Chairs
FUR-TA-10004575,KL-16555,5838,CA-2017-147760,4/11/2017,5/11/2017,First Class,3,523.764,0.4,-192.05,2017,Kelly Lampkin,United States,Furniture,Tables
FUR-CH-10001891,KL-16555,4535,CA-2014-111451,26/12/2014,28/12/2014,First Class,3,230.352,0.2,20.16,2014,Kelly Lampkin,United States,Furniture,Chairs
OFF-BI-10002706,KL-16555,4434,US-2014-141215,15/6/2014,21/6/2014,Standard Class,3,8.568,0.8,-14.57,2014,Kelly Lampkin,United States,Office Supplies,Binders
FUR-CH-10003379,KL-16555,4338,US-2014-141215,15/6/2014,21/6/2014,Standard Class,4,797.944,0.3,-57.0,2014,Kelly Lampkin,United States,Furniture,Chairs
FUR-FU-10002298,KL-16555,4270,US-2016-129469,23/9/2016,27/9/2016,Standard Class,6,532.704,0.2,-26.64,2016,Kelly Lampkin,United States,Furniture,Furnishings
OFF-BI-10003984,KL-16555,4182,CA-2017-160395,31/12/2016,6/1/2017,Standard Class,7,159.768,0.2,53.92,2016,Kelly Lampkin,United States,Office Supplies,Binders
TEC-PH-10002483,KL-16555,3062,CA-2017-147760,4/11/2017,5/11/2017,First Class,5,1359.96,0.2,119.0,2017,Kelly Lampkin,United States,Technology,Phones
OFF-BI-10004224,KL-16555,2749,CA-2017-103478,21/7/2017,24/7/2017,Second Class,7,94.192,0.8,-164.84,2017,Kelly Lampkin,United States,Office Supplies,Binders
OFF-FA-10004854,KL-16555,2727,CA-2014-111451,26/12/2014,28/12/2014,First Class,3,27.552,0.2,9.3,2014,Kelly Lampkin,United States,Office Supplies,Fasteners
OFF-AR-10003759,KL-16555,2649,CA-2017-160395,31/12/2016,6/1/2017,Standard Class,2,3.64,0.0,1.64,2016,Kelly Lampkin,United States,Office Supplies,Art
FUR-FU-10004090,KL-16555,2335,US-2016-153815,6/11/2016,9/11/2016,First Class,2,35.568,0.2,5.78,2016,Kelly Lampkin,United States,Furniture,Furnishings
FUR-FU-10002918,KL-16555,2322,CA-2014-111451,26/12/2014,28/12/2014,First Class,3,218.352,0.2,-24.56,2014,Kelly Lampkin,United States,Furniture,Furnishings
OFF-BI-10001890,KL-16555,2195,CA-2017-103478,21/7/2017,24/7/2017,Second Class,4,2.864,0.8,-4.58,2017,Kelly Lampkin,United States,Office Supplies,Binders
OFF-AR-10000315,KL-16555,2098,US-2016-129469,23/9/2016,27/9/2016,Standard Class,2,4.912,0.2,0.31,2016,Kelly Lampkin,United States,Office Supplies,Art
TEC-AC-10003038,KL-16555,1627,CA-2017-147333,14/12/2017,20/12/2017,Standard Class,5,44.75,0.0,8.5,2017,Kelly Lampkin,United States,Technology,Accessories
FUR-TA-10001520,KL-16555,275,US-2014-141215,15/6/2014,21/6/2014,Standard Class,2,99.918,0.3,-18.56,2014,Kelly Lampkin,United States,Furniture,Tables
OFF-BI-10004593,KL-16555,36,CA-2014-111451,26/12/2014,28/12/2014,First Class,5,78.6,0.7,-62.88,2014,Kelly Lampkin,United States,Office Supplies,Binders
OFF-PA-10002870,AH-10075,8709,CA-2016-144015,26/6/2016,26/6/2016,Same Day,2,12.48,0.0,5.62,2016,Ad.       ..am Hart,United States,Office Supplies,Paper
OFF-BI-10003650,AH-10075,8642,CA-2016-149797,15/9/2016,20/9/2016,Standard Class,2,841.568,0.2,294.55,2016,Ad.       ..am Hart,United States,Office Supplies,Binders
OFF-AP-10002906,AH-10075,6783,CA-2017-125451,23/10/2017,24/10/2017,First Class,1,2.22,0.0,0.67,2017,Ad.       ..am Hart,United States,Office Supplies,Appliances
OFF-PA-10003724,AH-10075,6616,CA-2017-125451,23/10/2017,24/10/2017,First Class,8,43.44,0.0,21.0,2017,Ad.       ..am Hart,United States,Office Supplies,Paper
OFF-LA-10001045,AH-10075,6257,CA-2014-160066,16/11/2014,22/11/2014,Standard Class,2,5.22,0.0,2.4,2014,Ad.       ..am Hart,United States,Office Supplies,Labels
FUR-FU-10000277,AH-10075,6079,CA-2017-125451,23/10/2017,24/10/2017,First Class,2,210.68,0.0,50.56,2017,Ad.       ..am Hart,United States,Furniture,Furnishings
FUR-CH-10001482,AH-10075,5709,CA-2017-145702,19/5/2017,24/5/2017,Second Class,3,314.352,0.2,-35.36,2017,Ad.       ..am Hart,United States,Furniture,Chairs
OFF-AR-10003504,AH-10075,4452,CA-2017-165029,26/11/2017,30/11/2017,Standard Class,3,12.84,0.0,3.72,2017,Ad.       ..am Hart,United States,Office Supplies,Art
OFF-BI-10003476,AH-10075,4285,CA-2017-112004,25/9/2017,28/9/2017,First Class,5,8.595,0.7,-6.3,2017,Ad.       ..am Hart,United States,Office Supplies,Binders
OFF-SU-10000157,AH-10075,4258,CA-2017-112004,25/9/2017,28/9/2017,First Class,2,190.896,0.2,-42.95,2017,Ad.       ..am Hart,United States,Office Supplies,Supplies
